237371;9434815;220;1431;810;2;"ЭКА561ЛН2";"эка561лн2";"";"шт";"";0;1;0;0;0;0;6.81;0.00;0.00;0.00;0.00;"";"";"70316";"2016-04-05 18:02:06"
237372;9334714;220;1431;810;2;"КС561ЛН3";"кс561лн3";"";"шт";"";0;1;0;0;0;0;2.89;0.00;0.00;0.00;0.00;"";"";"88548";"2018-11-09 17:24:24"
237373;9321614;14;1431;810;2;"К561ЛН5";"к561лн5";"";"шт";"";0;1;0;0;0;0;6.49;0.00;0.00;0.00;0.00;"";"";"142078";"2018-11-09 17:24:24"
237375;9321618;14;1431;810;2;"К561ЛС2";"к561лс2";"";"шт";"";0;1;0;0;0;0;32.86;0.00;0.00;0.00;0.00;"";"";"142076";"2018-11-09 17:24:24"
237376;9321620;14;1431;810;2;"К561ПУ4";"к561пу4";"";"шт";"";0;1;0;0;0;0;30.96;0.00;0.00;0.00;0.00;"";"";"116728";"2018-11-09 17:24:24"
237377;9321623;14;1431;810;2;"К561ПУ7";"к561пу7";"";"шт";"";0;1;0;0;0;0;246.56;0.00;0.00;0.00;0.00;"";"";"2308";"2018-11-09 17:24:24"
237378;9434892;14;1431;810;2;"ЭКР561ПУ8";"экр561пу8";"";"шт";"";0;1;0;0;0;0;12.33;0.00;0.00;0.00;0.00;"";"";"65884";"2018-11-09 17:24:24"
237380;9321625;14;1431;810;2;"К561РУ2";"к561ру2";"";"шт";"";0;1;0;0;0;0;13.74;0.00;0.00;0.00;0.00;"";"";"77924";"2016-06-03 17:04:43"
237383;9321637;14;1431;810;2;"К561ТР2";"к561тр2";"";"шт";"";0;1;0;0;0;0;29.71;0.00;0.00;0.00;0.00;"";"";"132237";"2018-11-09 17:24:24"
237404;9333601;14;1431;810;2;"КР572ПВ1А";"кр572пв1а";"";"шт";"";0;1;0;0;0;0;259.33;0.00;0.00;0.00;0.00;"";"";"2540";"2018-11-09 17:24:24"
237406;9321671;14;1431;810;2;"К572ПВ4";"к572пв4";"";"шт";"";0;1;0;0;0;0;2216.83;0.00;0.00;0.00;0.00;"";"";"2547";"2018-11-09 17:24:24"
237407;9333611;14;1431;810;2;"КР572ПВ5А";"кр572пв5а";"";"шт";"";0;1;0;0;0;0;161.33;0.00;0.00;0.00;0.00;"";"";"65199";"2015-06-20 00:34:54"
237408;9333619;14;1431;810;2;"КР574УД1А";"кр574уд1а";"";"шт";"";0;1;0;0;0;0;48.19;0.00;0.00;0.00;0.00;"";"";"112446";"2018-11-09 17:24:24"
237409;9321688;14;1431;810;2;"К574УД1А";"к574уд1а";"";"шт";"";0;1;0;0;0;0;344.41;0.00;0.00;0.00;0.00;"";"";"80007";"2018-11-09 17:24:24"
