218;"Chameleon";""
219;"Chamelion";""
220;"CHE";"http://www.huajing.com.cn"
221;"Cheetah";""
222;"Chemi";""
223;"Chinfa";"http://www.chinfa.com"
224;"Chip45";""
225;"Chitai";""
226;"CHN";""
227;"Chroma";""
228;"CHY";"http://www.chilisin.com.sg"
229;"Chyn Hand";""
230;"Circutor";""
231;"Cirm";""
232;"Cirr";"http://www.cirrus.com"
233;"Cirronet";""
234;"CIT";""
235;"Cixi";""
236;"C&K";""
237;"CL";""
238;"Clare";""
239;"Clarion";""
240;"Clarostat";""
241;"Clec";""
242;"CLG";""
243;"Clientop";""
244;"Clion";""
245;"C-Mac";""
246;"Cmax";""
247;"CMD";""
248;"CML";""
249;"CMP";""
250;"CNB";""
251;"Coil";""
252;"Coils";""
253;"Coiltr";""
254;"Coligen";""
255;"Come";""
256;"Comedia";""
257;"Comf";"http://www.globalsources.com/comf.co"
258;"Command Tecnologies";""
259;"Communication Technologies";""
260;"Comtop";""
261;"Comus";""
262;"Concept";""
263;"Condtrol";""
264;"Conel";""
265;"Conex";"http://www.conexant.com"
266;"Connectblue";""
267;"Connor-Winfield";""
268;"Continental Device";""
269;"Coolwaveasia";""
270;"Cornell Dubilier";""
271;"Cosmo";"http://www.cosmo-ic.com"
272;"Cosmtec";"http://www.cosmtec.com"
273;"COU";""
274;"CPC";"http://www.clare.com"
275;"CPS";""
276;"CPU";""
277;"Cramolin";""
278;"CRC";""
279;"Create Epoch";""
280;"Cree";"http://www.cree.com"
281;"Crunch";""
282;"CRY";"http://www.crydom.com"
283;"Crystalight";""
284;"Crystech";""
285;"Crystek";""
286;"Crystl";""
287;"CSB";""
288;"CSC";""
289;"Cs Electronics";""
290;"CSI";"http://www.catalyst-semiconductor.com"
291;"CSR";""
292;"CT";""
293;"Ct-Brand";""
294;"Ct-Concept";""
295;"Ctel";""
296;"CTI";""
297;"CUE";""
298;"Cui Inc.";""
299;"Cushcraft";""
300;"CVL";""
301;"Cypr";"http://www.cypress.com"
302;"CZT";""
303;"Daewoo";"http://www.daewoo.com"
304;"Daiwa";""
305;"Danfoss";""
306;"Dati";""
307;"Datv";""
308;"DAU";""
309;"DAV";""
310;"Daxx";""
311;"Daxx 1601";""
312;"DB";""
313;"DC";"http://www.dccomponents.com"
314;"DCI";""
315;"DD";""
316;"DDM";""
317;"DE";""
318;"Deca";""
319;"Defend-Lock";""
320;"Degson";""
321;"DEI";""
322;"Delta";""
323;"DEN";"http://www.densitron.net"
324;"Denon";""
325;"DG";""
326;"DGE";""
327;"Dgsd";""
328;"DI";"http://www.diodes.com"
329;"Dialight";""
330;"DIC";""
331;"Diem";"http://www.hrdiemen.es"
332;"Dietz";""
333;"Digi";""
334;"Digilent";""
335;"Digm";""
336;"Dilab";""
337;"Dima";""
338;"µ-Dimension";""
339;"Dink";"http://www.dinkle.com.tw"
340;"DIO";""
341;"DIP";""
342;"Distec";""
343;"Diverse";""
344;"DKC";""
345;"Dlkss";""
346;"DLP";"http://www.dlpdesign.com"
347;"DLS";""
348;"DMC";""
349;"Doumo";""
350;"DPT";""
351;"Dragster";""
352;"Drgc";""
353;"DS";""
354;"DSG";"http://www.dsgcanusa.com"
355;"DSP";""
356;"Dspg";"http://www.dspglobal.com/company.htm"
357;"Dspw";""
358;"DTR";""
359;"Duracell";""
360;"Duracomm";""
361;"Dvsi";""
362;"E2V";""
363;"EAD";""
364;"East";""
365;"EBG";""
366;"Ebwise";""
367;"EC";""
368;"Ecall";""
369;"ECE";"http://www.ece.com.tw"
370;"ECH";"http://www.echelon.com"
371;"Ecliptek";""
372;"ECS";""
373;"Edsp";""
374;"Eemb";"http://www.eemb.com"
375;"Efjohnson";""
376;"Egnite";""
377;"EIC";"http://www.eicsemi.com/eicsemi"
378;"Eikon";""
379;"Eimac";""
380;"Ekl Components";""
381;"ELA";""
382;"Elan";""
383;"Elcap";""
384;"Elchem";""
385;"Elecraft";""
386;"Elecsound";""
387;"Electron";""
388;"Elektra";""
389;"Elfa";""
390;"Elite";""
391;"Ellim";"http://www.ellim21.co.kr/eng"
392;"ELM";""
393;"Elme";"http://www.elme.it"
394;"Elmic";""
395;"Elna";""
396;"Elnec";"http://www.elnec.com"
397;"Elpro";""
398;"ELV";""
399;"Embarts";""
400;"Ember";""
401;"Emco";"http://www.emcohighvoltage.com"
402;"EMG";""
403;"Emkay";""
404;"Emmarin";""
405;"EMR";""
406;"ENE";""
407;"Enfora";""
408;"Enpirion";""
409;"Enplas";""
410;"Ensto";"http://www.ensto.com"
411;"Entery";""
412;"E.O.S.";""
413;"Epcos";"http://www.epcos.com"
414;"Epit";""
415;"Epoc";""
416;"Epson";"http://www.epson.com"
417;"Erco";"http://www.erso.itri.org.tw"
418;"ERG";"http://www.ergpower.com"
419;"Ergom";""
420;"Erics";"http://www.ergpower.com"
421;"Eride";""
422;"Erifa";""
423;"Erni";""
424;"Ersa";"http://www.ersa.de"
425;"Eska";""
426;"ESP";""
427;"ESS";""
428;"ET";""
429;"E-T-A";""
430;"Etec";""
431;"Eton";""
432;"EUD";""
433;"EUP";"http://www.emulation.com"
434;"Eurohm";""
435;"Europwr";""
436;"Eurotherm";""
437;"EVE";""
438;"Ever";""
439;"Evercool";""
440;"Everest";""
441;"Everf";""
442;"Evermore";""
443;"Exar";"http://www.exar.com"
444;"Excel";"http://www.excelics.com"
445;"Exel";"http://www.electromechanicalparts.com"
446;"Exicon";""
447;"Ez Digital";""
448;"Fagor";""
449;"Fair";"http://www.fairchildsemi.com"
450;"Fairrite";""
451;"Faithful Link";"http://www.faithfullink.com/"
452;"Falcon";""
453;"Fargo";""
454;"Farnell";""
455;"F.A.R.T.";""
456;"Fast";"http://www.fastron.de"
457;"Fastrax";""
458;"Faut";""
459;"Fbele";""
460;"FCI";""
461;"FDI";""
462;"FDR";""
463;"FEC";""
464;"FEI";""
465;"Felder";""
